name,MMSI,flag,flag translated,GFW vessel type,GFW gear type,vesselId,dataset
Al mar,,BRA,Brasil,---,Espinhel de superfície,504917012-2b4d-1cc1-2163-8a8224ed68ab,public-bra-onyxsat-vessel-identity-fishing:v20211126
Amz II,,BRA,Brasil,---,Null,890825a5c-c5aa-163a-6b13-dfe5afeb5d58,public-bra-onyxsat-vessel-identity-fishing:v20211126
Brilho Celeste,710130146,BRA,Brasil,Pesca,Espinhel de superfície,4dcb231ab-b292-551d-5450-06e8bea3d0d7,public-global-vessel-identity:v3.0
Barreto Nunes,,BRA,Brasil,---,Null,7d96653ef-f7ea-e159-0154-a00ba49452d1,public-bra-onyxsat-vessel-identity-fishing:v20211126
Barreto Rosa,,BRA,Brasil,---,Espinhel de superfície,a6fd5d554-42cd-8895-a984-a661d0fadd23,public-bra-onyxsat-vessel-identity-fishing:v20211126
Drielly I,710137982,BRA,Brasil,Pesca,Pesca,d8b961dda-a697-ab0a-36a4-0a5f7e53b4c2,public-global-vessel-identity:v3.0
Enzo,710212829,BRA,Brasil,Outros,Outros,e9c3dbeb4-4695-5b4d-d806-930576a6f2ff,public-global-vessel-identity:v3.0
Enzo IV,710131879,BRA,Brasil,Outros,Outros,231a78742-2466-dd55-3340-3af24e567169,public-global-vessel-identity:v3.0
Erik Arthur,,BRA,Brasil,---,Espinhel de superfície,163d8929e-eb67-15b5-f919-0b3425a347af,public-bra-onyxsat-vessel-identity-fishing:v20211126
Esperança X,,BRA,Brasil,---,Espinhel de superfície,d35c8fb3e-e041-5cd4-e5f4-ee27401633dd,public-bra-onyxsat-vessel-identity-fishing:v20211126
Fruto Da Fe,710090011,BRA,Brasil,Pesca,Espinhel de superfície,5dcbe4275-5fd8-58bc-8b2c-222abaa7492f,public-global-vessel-identity:v3.0
Fabiola M,,BRA,Brasil,---,Espinhel de superfície,dd6f91da9-9026-6d42-3ed3-90b2e976c78f,public-bra-onyxsat-vessel-identity-fishing:v20211126
Gulf Oceanic,710122798,BRA,Brasil,Pesca,Espinhel de superfície,480f69183-34a2-b2cf-53bb-46181b4f7159,public-global-vessel-identity:v3.0
Gospeon III,,BRA,Brasil,---,Espinhel de superfície,291bb84ec-c004-6519-9aa2-b0639dab1ed6,public-bra-onyxsat-vessel-identity-fishing:v20211126
Hellen Vitor,710781830,BRA,Brasil,Pesca,Espinhel de superfície,6b39d6d01-141d-8ff3-b1a7-d1c629944b37,public-global-vessel-identity:v3.0
Ictus,710004897,BRA,Brasil,Outros,Outros,2bdc70c35-50f9-5eaa-533a-e4fc7ef6f9dc,public-global-vessel-identity:v3.0
Itaborai 3,710803383,BRA,Brasil,Pesca,Espinhel de superfície,2562cd23c-cc9f-24f4-6e18-8a6b03709a43,public-global-vessel-identity:v3.0
Isaac I,,BRA,Brasil,---,Espinhel de superfície,6924b369a-adfe-cd67-d1f1-1c394ccea7b3,public-bra-onyxsat-vessel-identity-fishing:v20211126
Itaborai III,,BRA,Brasil,---,Espinhel de superfície,089998110-04ef-75be-6f2d-3a96422a4ad1,public-bra-onyxsat-vessel-identity-fishing:v20211126
Itamaracá IX,,BRA,Brasil,---,Espinhel de superfície,dc03e54ef-fb6e-b790-99d0-b52baf3ba254,public-bra-onyxsat-vessel-identity-fishing:v20211126
Itamaracá V,,BRA,Brasil,---,Espinhel de superfície,c0b60651f-f64e-7493-e7a9-c6aed9a2540d,public-bra-onyxsat-vessel-identity-fishing:v20211126
Kadosh II,,BRA,Brasil,---,Espinhel de superfície,116958925-5662-5054-aaa5-5494a4a0d272,public-bra-onyxsat-vessel-identity-fishing:v20211126
Lavinia II,710590484,BRA,Brasil,Petrecho,Petrecho,d8e284d51-19f5-ffda-ee8e-e0d25d483280,public-global-vessel-identity:v3.0
