"","ano_trimestre","trimestre","oni_media","enso_class","bar_color","data_inicio","enso_fase"
"1",1950,"AMJ",-0.74,"La_Nina","steelblue",1950-05-01,"La_Nina"
"2",1950,"ASO",-0.32,"Neutral","gray80",1950-09-01,"Neutral"
"3",1950,"DJF",-1.47,"La_Nina","steelblue",1950-01-01,"La_Nina"
"4",1950,"FMA",-1.11,"La_Nina","steelblue",1950-03-01,"La_Nina"
"5",1950,"JAS",-0.41,"Neutral","gray80",1950-08-01,"Neutral"
"6",1950,"JFM",-1.07,"La_Nina","steelblue",1950-02-01,"La_Nina"
"7",1950,"JJA",-0.42,"Neutral","gray80",1950-07-01,"Neutral"
"8",1950,"MAM",-1.37,"La_Nina","steelblue",1950-04-01,"La_Nina"
"9",1950,"MJJ",-0.44,"Neutral","gray80",1950-06-01,"Neutral"
"10",1950,"SON",-0.6,"La_Nina","steelblue",1950-10-01,"La_Nina"
"11",1951,"AMJ",0.52,"El_Nino","firebrick",1951-05-01,"El_Nino"
"12",1951,"ASO",1.19,"El_Nino","firebrick",1951-09-01,"El_Nino"
"13",1951,"DJF",-0.82,"La_Nina","steelblue",1951-01-01,"La_Nina"
"14",1951,"FMA",0.2,"Neutral","gray80",1951-03-01,"Neutral"
"15",1951,"JAS",1.08,"El_Nino","firebrick",1951-08-01,"El_Nino"
"16",1951,"JFM",-0.04,"Neutral","gray80",1951-02-01,"Neutral"
"17",1951,"JJA",0.71,"El_Nino","firebrick",1951-07-01,"El_Nino"
"18",1951,"MAM",0.37,"Neutral","gray80",1951-04-01,"Neutral"
"19",1951,"MJJ",0.87,"El_Nino","firebrick",1951-06-01,"El_Nino"
"20",1951,"SON",1.19,"El_Nino","firebrick",1951-10-01,"El_Nino"
"21",1952,"AMJ",-0.03,"Neutral","gray80",1952-05-01,"Neutral"
"22",1952,"ASO",0.25,"Neutral","gray80",1952-09-01,"Neutral"
"23",1952,"DJF",0.533333333333333,"El_Nino","firebrick",1952-01-01,"El_Nino"
"24",1952,"FMA",0.42,"Neutral","gray80",1952-03-01,"Neutral"
"25",1952,"JAS",0.21,"Neutral","gray80",1952-08-01,"Neutral"
"26",1952,"JFM",0.24,"Neutral","gray80",1952-02-01,"Neutral"
"27",1952,"JJA",0,"Neutral","gray80",1952-07-01,"Neutral"
"28",1952,"MAM",0.23,"Neutral","gray80",1952-04-01,"Neutral"
"29",1952,"MJJ",-0.2,"Neutral","gray80",1952-06-01,"Neutral"
"30",1952,"SON",-0.14,"Neutral","gray80",1952-10-01,"Neutral"
"31",1953,"AMJ",0.9,"El_Nino","firebrick",1953-05-01,"El_Nino"
"32",1953,"ASO",0.86,"El_Nino","firebrick",1953-09-01,"El_Nino"
"33",1953,"DJF",0.4,"Neutral","gray80",1953-01-01,"Neutral"
"34",1953,"FMA",0.64,"El_Nino","firebrick",1953-03-01,"El_Nino"
"35",1953,"JAS",0.85,"El_Nino","firebrick",1953-08-01,"El_Nino"
"36",1953,"JFM",0.62,"El_Nino","firebrick",1953-02-01,"El_Nino"
"37",1953,"JJA",0.63,"El_Nino","firebrick",1953-07-01,"El_Nino"
"38",1953,"MAM",0.71,"El_Nino","firebrick",1953-04-01,"El_Nino"
"39",1953,"MJJ",0.7,"El_Nino","firebrick",1953-06-01,"El_Nino"
"40",1953,"SON",0.82,"El_Nino","firebrick",1953-10-01,"El_Nino"
"41",1954,"AMJ",-0.42,"Neutral","gray80",1954-05-01,"Neutral"
"42",1954,"ASO",-0.78,"La_Nina","steelblue",1954-09-01,"La_Nina"
"43",1954,"DJF",0.756666666666667,"El_Nino","firebrick",1954-01-01,"El_Nino"
"44",1954,"FMA",-0.74,"La_Nina","steelblue",1954-03-01,"La_Nina"
"45",1954,"JAS",-1.03,"La_Nina","steelblue",1954-08-01,"La_Nina"
"46",1954,"JFM",-0.04,"Neutral","gray80",1954-02-01,"Neutral"
