"","year","enso_q","lat","lon","hours","enso_q_index.x","ONI","enso_q_index.y"
"1",2022,"DJF",-23.41,-29.57,0.82,"2022-DJF",-0.97,"2022-DJF"
"2",2022,"DJF",-23.4,-30.52,0.85,"2022-DJF",-0.97,"2022-DJF"
"3",2022,"DJF",-23.4,-30.47,1.03,"2022-DJF",-0.97,"2022-DJF"
"4",2022,"DJF",-23.4,-30.34,0.82,"2022-DJF",-0.97,"2022-DJF"
"5",2022,"DJF",-23.4,-30.31,0.87,"2022-DJF",-0.97,"2022-DJF"
"6",2022,"DJF",-23.4,-30.3,0.65,"2022-DJF",-0.97,"2022-DJF"
"7",2022,"DJF",-23.4,-30.29,1.08,"2022-DJF",-0.97,"2022-DJF"
"8",2022,"DJF",-23.4,-29.6,1.13,"2022-DJF",-0.97,"2022-DJF"
"9",2022,"DJF",-23.4,-29.59,0.92,"2022-DJF",-0.97,"2022-DJF"
"10",2022,"DJF",-23.39,-30.3,0.65,"2022-DJF",-0.97,"2022-DJF"
"11",2022,"DJF",-23.39,-29.61,1.02,"2022-DJF",-0.97,"2022-DJF"
"12",2022,"DJF",-23.38,-30.31,1.1,"2022-DJF",-0.97,"2022-DJF"
"13",2022,"DJF",-23.38,-30.3,3.5,"2022-DJF",-0.97,"2022-DJF"
"14",2022,"DJF",-23.38,-29.63,0.76,"2022-DJF",-0.97,"2022-DJF"
"15",2022,"DJF",-23.38,-29.58,0.67,"2022-DJF",-0.97,"2022-DJF"
"16",2022,"DJF",-23.37,-29.64,1.2,"2022-DJF",-0.97,"2022-DJF"
"17",2022,"DJF",-23.36,-30.71,1.23,"2022-DJF",-0.97,"2022-DJF"
"18",2022,"DJF",-23.35,-30.72,1.02,"2022-DJF",-0.97,"2022-DJF"
"19",2022,"DJF",-23.34,-30.1,1.65,"2022-DJF",-0.97,"2022-DJF"
"20",2022,"DJF",-23.33,-30.09,1.42,"2022-DJF",-0.97,"2022-DJF"
"21",2022,"DJF",-23.33,-30.08,0.97,"2022-DJF",-0.97,"2022-DJF"
"22",2022,"DJF",-23.33,-30.07,0.58,"2022-DJF",-0.97,"2022-DJF"
"23",2022,"DJF",-23.33,-30.06,1.4,"2022-DJF",-0.97,"2022-DJF"
"24",2022,"DJF",-23.33,-29.53,1.06,"2022-DJF",-0.97,"2022-DJF"
"25",2022,"DJF",-23.32,-30.77,0.96,"2022-DJF",-0.97,"2022-DJF"
"26",2022,"DJF",-23.29,-30.13,0.98,"2022-DJF",-0.97,"2022-DJF"
"27",2022,"DJF",-23.27,-30.84,0.37,"2022-DJF",-0.97,"2022-DJF"
"28",2022,"DJF",-23.27,-29.51,1.34,"2022-DJF",-0.97,"2022-DJF"
"29",2022,"DJF",-23.26,-30.42,1.84,"2022-DJF",-0.97,"2022-DJF"
"30",2022,"DJF",-23.26,-30.14,0.78,"2022-DJF",-0.97,"2022-DJF"
"31",2022,"DJF",-23.26,-30.12,0.97,"2022-DJF",-0.97,"2022-DJF"
"32",2022,"DJF",-23.24,-30.92,1.67,"2022-DJF",-0.97,"2022-DJF"
"33",2022,"DJF",-23.21,-31,1.02,"2022-DJF",-0.97,"2022-DJF"
"34",2022,"DJF",-23.2,-30.14,0.9,"2022-DJF",-0.97,"2022-DJF"
"35",2022,"DJF",-23.17,-31.06,0.28,"2022-DJF",-0.97,"2022-DJF"
"36",2022,"DJF",-23.16,-30.85,4.12,"2022-DJF",-0.97,"2022-DJF"
"37",2022,"DJF",-23.15,-31.42,1.16,"2022-DJF",-0.97,"2022-DJF"
"38",2022,"DJF",-23.15,-31.14,2.28,"2022-DJF",-0.97,"2022-DJF"
"39",2022,"DJF",-23.15,-30.99,4.72,"2022-DJF",-0.97,"2022-DJF"
"40",2022,"DJF",-23.14,-31.51,1.34,"2022-DJF",-0.97,"2022-DJF"
"41",2022,"DJF",-23.13,-31.53,1.06,"2022-DJF",-0.97,"2022-DJF"
"42",2022,"DJF",-23.13,-31.34,0.39,"2022-DJF",-0.97,"2022-DJF"
"43",2022,"DJF",-23.13,-31.31,1.09,"2022-DJF",-0.97,"2022-DJF"
"44",2022,"DJF",-23.13,-29.47,0.95,"2022-DJF",-0.97,"2022-DJF"
"45",2022,"DJF",-23.12,-31.08,0.77,"2022-DJF",-0.97,"2022-DJF"
"46",2022,"DJF",-23.11,-31.18,1.86,"2022-DJF",-0.97,"2022-DJF"
"47",2022,"DJF",-23.11,-30.7,0.8,"2022-DJF",-0.97,"2022-DJF"
"48",2022,"DJF",-23.11,-30.69,0.68,"2022-DJF",-0.97,"2022-DJF"
"49",2022,"DJF",-23.11,-30.68,1.1,"2022-DJF",-0.97,"2022-DJF"
"50",2022,"DJF",-23.11,-30.65,1.03,"2022-DJF",-0.97,"2022-DJF"
"51",2022,"DJF",-23.11,-30.64,0.98,"2022-DJF",-0.97,"2022-DJF"
"52",2022,"DJF",-23.11,-30.62,0.38,"2022-DJF",-0.97,"2022-DJF"
"53",2022,"DJF",-23.11,-30.56,2.55,"2022-DJF",-0.97,"2022-DJF"
"54",2022,"DJF",-23.11,-30.16,1.48,"2022-DJF",-0.97,"2022-DJF"
"55",2022,"DJF",-23.1,-30.16,0.78,"2022-DJF",-0.97,"2022-DJF"
"56",2022,"DJF",-23.1,-29.46,1.05,"2022-DJF",-0.97,"2022-DJF"
"57",2022,"DJF",-23.09,-30.59,1.53,"2022-DJF",-0.97,"2022-DJF"
"58",2022,"DJF",-23.08,-31.36,0.8,"2022-DJF",-0.97,"2022-DJF"
"59",2022,"DJF",-23.08,-31.34,1.72,"2022-DJF",-0.97,"2022-DJF"
"60",2022,"DJF",-23.08,-30.57,1.75,"2022-DJF",-0.97,"2022-DJF"
"61",2022,"DJF",-23.07,-30.58,2.47,"2022-DJF",-0.97,"2022-DJF"
"62",2022,"DJF",-23.06,-31.43,3.43,"2022-DJF",-0.97,"2022-DJF"
"63",2022,"DJF",-23.06,-30.59,0.7,"2022-DJF",-0.97,"2022-DJF"
"64",2022,"DJF",-23.05,-30.73,0.87,"2022-DJF",-0.97,"2022-DJF"
"65",2022,"DJF",-23.05,-30.72,1.28,"2022-DJF",-0.97,"2022-DJF"
"66",2022,"DJF",-23.05,-30.69,0.3,"2022-DJF",-0.97,"2022-DJF"
"67",2022,"DJF",-23.05,-30.6,0.98,"2022-DJF",-0.97,"2022-DJF"
"68",2022,"DJF",-23.04,-31.43,3.07,"2022-DJF",-0.97,"2022-DJF"
"69",2022,"DJF",-23.04,-30.75,1.03,"2022-DJF",-0.97,"2022-DJF"
"70",2022,"DJF",-23.04,-30.73,0.87,"2022-DJF",-0.97,"2022-DJF"
"71",2022,"DJF",-23.04,-30.72,2.04,"2022-DJF",-0.97,"2022-DJF"
"72",2022,"DJF",-23.04,-30.71,1.75,"2022-DJF",-0.97,"2022-DJF"
"73",2022,"DJF",-23.04,-30.7,2.5,"2022-DJF",-0.97,"2022-DJF"
"74",2022,"DJF",-23.04,-30.52,0.62,"2022-DJF",-0.97,"2022-DJF"
"75",2022,"DJF",-23.03,-31.5,1.14,"2022-DJF",-0.97,"2022-DJF"
"76",2022,"DJF",-23.03,-31.2,0.2,"2022-DJF",-0.97,"2022-DJF"
"77",2022,"DJF",-23.03,-31.13,0.98,"2022-DJF",-0.97,"2022-DJF"
"78",2022,"DJF",-23.03,-30.69,0.82,"2022-DJF",-0.97,"2022-DJF"
"79",2022,"DJF",-23.03,-30.68,2,"2022-DJF",-0.97,"2022-DJF"
"80",2022,"DJF",-23.02,-30.64,1.43,"2022-DJF",-0.97,"2022-DJF"
"81",2022,"DJF",-23.02,-30.58,1.57,"2022-DJF",-0.97,"2022-DJF"
"82",2022,"DJF",-23.02,-30.48,1.4,"2022-DJF",-0.97,"2022-DJF"
"83",2022,"DJF",-23.01,-30.99,1,"2022-DJF",-0.97,"2022-DJF"
"84",2022,"DJF",-23.01,-30.74,1.19,"2022-DJF",-0.97,"2022-DJF"
"85",2022,"DJF",-23,-31.04,1.03,"2022-DJF",-0.97,"2022-DJF"
"86",2022,"DJF",-23,-30.83,1.28,"2022-DJF",-0.97,"2022-DJF"
"87",2022,"DJF",-22.99,-31.26,2.54,"2022-DJF",-0.97,"2022-DJF"
"88",2022,"DJF",-22.98,-30.56,1.03,"2022-DJF",-0.97,"2022-DJF"
"89",2022,"DJF",-22.98,-30.51,1.55,"2022-DJF",-0.97,"2022-DJF"
"90",2022,"DJF",-22.98,-30.38,0.93,"2022-DJF",-0.97,"2022-DJF"
"91",2022,"DJF",-22.96,-31.35,0.35,"2022-DJF",-0.97,"2022-DJF"
"92",2022,"DJF",-22.96,-30.17,1.42,"2022-DJF",-0.97,"2022-DJF"
"93",2022,"DJF",-22.96,-30.15,0.44,"2022-DJF",-0.97,"2022-DJF"
"94",2022,"DJF",-22.96,-29.42,0.82,"2022-DJF",-0.97,"2022-DJF"
"95",2022,"DJF",-22.95,-31.65,0.78,"2022-DJF",-0.97,"2022-DJF"
"96",2022,"DJF",-22.95,-31.17,1.06,"2022-DJF",-0.97,"2022-DJF"
"97",2022,"DJF",-22.94,-31.65,0.43,"2022-DJF",-0.97,"2022-DJF"
"98",2022,"DJF",-22.93,-31.22,1.06,"2022-DJF",-0.97,"2022-DJF"
"99",2022,"DJF",-22.93,-30.35,1.02,"2022-DJF",-0.97,"2022-DJF"
"100",2022,"DJF",-22.93,-30.27,0.83,"2022-DJF",-0.97,"2022-DJF"
"101",2022,"DJF",-22.92,-30.94,0.83,"2022-DJF",-0.97,"2022-DJF"
"102",2022,"DJF",-22.91,-31.02,1.82,"2022-DJF",-0.97,"2022-DJF"
"103",2022,"DJF",-22.9,-31.1,3.91,"2022-DJF",-0.97,"2022-DJF"
"104",2022,"DJF",-22.9,-31.08,0.52,"2022-DJF",-0.97,"2022-DJF"
"105",2022,"DJF",-22.9,-30.39,1.05,"2022-DJF",-0.97,"2022-DJF"
"106",2022,"DJF",-22.89,-31.11,0.75,"2022-DJF",-0.97,"2022-DJF"
"107",2022,"DJF",-22.89,-30.16,1,"2022-DJF",-0.97,"2022-DJF"
"108",2022,"DJF",-22.88,-31.29,7.35,"2022-DJF",-0.97,"2022-DJF"
"109",2022,"DJF",-22.88,-31.18,0.99,"2022-DJF",-0.97,"2022-DJF"
"110",2022,"DJF",-22.88,-30.98,0.96,"2022-DJF",-0.97,"2022-DJF"
"111",2022,"DJF",-22.88,-30.28,0.77,"2022-DJF",-0.97,"2022-DJF"
"112",2022,"DJF",-22.88,-29.46,0.77,"2022-DJF",-0.97,"2022-DJF"
"113",2022,"DJF",-22.87,-30.92,1.17,"2022-DJF",-0.97,"2022-DJF"
"114",2022,"DJF",-22.86,-31,3.45,"2022-DJF",-0.97,"2022-DJF"
"115",2022,"DJF",-22.86,-30.32,1.07,"2022-DJF",-0.97,"2022-DJF"
"116",2022,"DJF",-22.86,-30.26,1.2,"2022-DJF",-0.97,"2022-DJF"
"117",2022,"DJF",-22.85,-30.99,2.09,"2022-DJF",-0.97,"2022-DJF"
"118",2022,"DJF",-22.85,-30.93,1.32,"2022-DJF",-0.97,"2022-DJF"
"119",2022,"DJF",-22.85,-30.92,0.39,"2022-DJF",-0.97,"2022-DJF"
"120",2022,"DJF",-22.85,-30.88,0.52,"2022-DJF",-0.97,"2022-DJF"
"121",2022,"DJF",-22.85,-30.82,0.77,"2022-DJF",-0.97,"2022-DJF"
"122",2022,"DJF",-22.85,-30.21,0.35,"2022-DJF",-0.97,"2022-DJF"
"123",2022,"DJF",-22.85,-30.19,0.93,"2022-DJF",-0.97,"2022-DJF"
"124",2022,"DJF",-22.84,-30.99,1.81,"2022-DJF",-0.97,"2022-DJF"
"125",2022,"DJF",-22.84,-30.98,1.09,"2022-DJF",-0.97,"2022-DJF"
"126",2022,"DJF",-22.84,-30.37,1.03,"2022-DJF",-0.97,"2022-DJF"
"127",2022,"DJF",-22.83,-31.32,0.98,"2022-DJF",-0.97,"2022-DJF"
"128",2022,"DJF",-22.83,-31.01,1.97,"2022-DJF",-0.97,"2022-DJF"
"129",2022,"DJF",-22.83,-30.98,6.04,"2022-DJF",-0.97,"2022-DJF"
"130",2022,"DJF",-22.83,-30.84,1.17,"2022-DJF",-0.97,"2022-DJF"
"131",2022,"DJF",-22.83,-30.27,0.97,"2022-DJF",-0.97,"2022-DJF"
"132",2022,"DJF",-22.83,-29.51,1.12,"2022-DJF",-0.97,"2022-DJF"
"133",2022,"DJF",-22.82,-31.9,1.05,"2022-DJF",-0.97,"2022-DJF"
"134",2022,"DJF",-22.82,-31.84,2.29,"2022-DJF",-0.97,"2022-DJF"
"135",2022,"DJF",-22.82,-31.36,0.3,"2022-DJF",-0.97,"2022-DJF"
"136",2022,"DJF",-22.82,-30.96,0.99,"2022-DJF",-0.97,"2022-DJF"
"137",2022,"DJF",-22.82,-30.39,1.6,"2022-DJF",-0.97,"2022-DJF"
"138",2022,"DJF",-22.82,-30.38,1.35,"2022-DJF",-0.97,"2022-DJF"
"139",2022,"DJF",-22.82,-30.26,0.25,"2022-DJF",-0.97,"2022-DJF"
"140",2022,"DJF",-22.82,-30.15,0.62,"2022-DJF",-0.97,"2022-DJF"
"141",2022,"DJF",-22.81,-30.99,0.89,"2022-DJF",-0.97,"2022-DJF"
"142",2022,"DJF",-22.81,-30.33,0.92,"2022-DJF",-0.97,"2022-DJF"
"143",2022,"DJF",-22.81,-30.12,0.78,"2022-DJF",-0.97,"2022-DJF"
"144",2022,"DJF",-22.81,-28.96,0.99,"2022-DJF",-0.97,"2022-DJF"
"145",2022,"DJF",-22.8,-31.83,0.95,"2022-DJF",-0.97,"2022-DJF"
